Issue Type,Summary,Epic Name,Epic Link,Priority,Labels,Description,Acceptance Criteria
Epic,Foundation and Project Governance,Foundation and Project Governance,,Highest,"infrastructure,community","Establish project management, documentation, validation, and contribution foundations.","Vision, roadmap, Jira backlog, CI, and workflow docs exist."
Epic,Technology Tree and Pathfinder,Technology Tree and Pathfinder,,High,"tree,pathfinder,ux","Make the technology graph navigable, queryable, and useful for target-oriented planning.","Users can explore the graph, find dependencies, and identify paths to target technologies."
Epic,Documentary Entry System,Documentary Entry System,,High,"documentary,content,schema","Make each technology page a deep structured manual, not a shallow wiki article.","Entries support principles, materials, steps, failure modes, maintenance, sources, and verification."
Epic,Raw Material Atlas,Raw Material Atlas,,High,"atlas,space,collapse","Map raw materials, Earth locations, space substitutes, and material transformation chains.","Users can search by material and see where it appears in technologies and chains."
Epic,Safety and Verification System,Safety and Verification System,,Highest,"safety,verification,schema","Make risk, uncertainty, source quality, and review status explicit and enforceable.","High-risk content is gated, labeled, source-backed, and validated."
Epic,Scenario Modes,Scenario Modes,,High,"space,collapse,ux","Adapt the same tree to collapse recovery, Mars, Moon, orbital station, and other scenarios.","Users can switch context and see priorities, warnings, and substitutions change."
Epic,Media and Teaching Layer,Media and Teaching Layer,,Medium,"media,print,content","Add diagrams, images, videos, printable guides, and field cards.","Entries become teachable and printable without losing source/license tracking."
Epic,Community Contribution System,Community Contribution System,,Medium,"community,verification,content","Create pathways for experts and contributors to improve the project safely.","Jira/GitHub templates, missions, review queues, and contributor guidance exist."
Epic,Offline and Distribution,Offline and Distribution,,High,"offline,print,infrastructure","Ensure CivilizationX works as a static/offline artifact.","The PWA, static build, printable pages, and mirror strategy support low-connectivity use."
Story,Create master project plan,,Foundation and Project Governance,Highest,"infrastructure,community","Document the full CivilizationX plan and idea backlog in the repository.","docs/MASTER_PLAN.md exists and covers product, content, safety, media, community, and infrastructure."
Story,Create Jira import backlog,,Foundation and Project Governance,Highest,"infrastructure,community","Create Jira-ready CSV and workflow docs.","docs/jira contains README, workflow, sprint plan, and CSV backlog."
Story,Add CI validation pipeline,,Foundation and Project Governance,Highest,"infrastructure","Run validation, lint, and build in CI.","GitHub Actions workflow exists and runs npm ci, validate-data, lint, and build."
Story,Add project identity decision ticket,,Foundation and Project Governance,Medium,"community,ux","Resolve whether public name is CivilizationX, The Codex, or a combined brand.","Decision recorded in docs and README updated."
Story,Choose code and content licenses,,Foundation and Project Governance,High,"community,infrastructure","Select appropriate licenses for code and curated content.","LICENSE files added and README updated."
Story,Add contribution style guide,,Foundation and Project Governance,Medium,"community,content","Define tone, source standards, uncertainty language, and safety phrasing.","docs includes style guide linked from CONTRIBUTING.md."
Story,Add Foundations Mode page,,Technology Tree and Pathfinder,High,"tree,collapse,space,ux","Create a page for the primitive stack shared by collapse recovery and space settlement.","/foundations route exists and links core foundation nodes and chains."
Story,Build target pathfinder,,Technology Tree and Pathfinder,High,"pathfinder,tree,ux","Let users choose a starting capability and a target technology.","Pathfinder returns prerequisite path and missing nodes."
Story,Add missing prerequisites panel,,Technology Tree and Pathfinder,High,"pathfinder,tree,ux","On technology pages, show missing upstream prerequisites for a selected capability set.","Panel lists required missing nodes and links to them."
Story,Add upstream dependency view,,Technology Tree and Pathfinder,Medium,"tree,ux","Show all prerequisites upstream of a selected node.","A selected technology can show its dependency subtree."
Story,Add downstream unlock view,,Technology Tree and Pathfinder,Medium,"tree,ux","Show all technologies unlocked downstream of a selected node.","A selected technology can show downstream unlocks."
Story,Add bottleneck detection,,Technology Tree and Pathfinder,Medium,"tree,ux","Identify nodes that unlock many downstream capabilities.","Status or tree view highlights high-leverage nodes."
Story,Add graph cycle detection,,Technology Tree and Pathfinder,Highest,"tree,schema,infrastructure","Prevent impossible cyclic dependencies.","validate-data fails on cycles and reports cycle path."
Story,Add orphan node detection,,Technology Tree and Pathfinder,Medium,"tree,schema","Detect isolated nodes with no prerequisites and no unlocks unless explicitly allowed.","validate-data reports orphan candidates."
Story,Add alternative routes support,,Technology Tree and Pathfinder,High,"tree,schema","Support technologies with multiple possible prerequisite routes.","Schema design supports required and alternative prerequisites."
Story,Add prerequisite explanation field,,Technology Tree and Pathfinder,Medium,"tree,schema,content","Explain why each prerequisite is needed.","Schema and UI support prerequisite rationale."
Story,Add entry maturity levels,,Documentary Entry System,High,"documentary,content,schema","Track stub, draft, researched, community-reviewed, and expert-verified maturity.","Schema/UI display maturity separately from verification."
Story,Add failure modes section,,Documentary Entry System,High,"documentary,safety,content","Every technology should explain how it fails and dangerous mistakes.","Schema and UI support failureModes."
Story,Add maintenance and repair section,,Documentary Entry System,High,"documentary,collapse,space","Document how to keep technologies working.","Schema and UI support maintenance."
Story,Add inputs and outputs schema,,Documentary Entry System,High,"documentary,schema,atlas","Track what each technology consumes and produces.","Schema supports inputs, outputs, and byproducts."
Story,Add waste handling field,,Documentary Entry System,High,"documentary,safety,schema","Document waste streams and disposal concerns.","Schema validates wasteHandling for high-risk entries."
Story,Add skill requirements,,Documentary Entry System,Medium,"documentary,schema","Separate human skills from tools and materials.","Entries can list required skills."
Story,Add time requirements,,Documentary Entry System,Medium,"documentary,schema","Track rough time ranges for building or learning.","Entries can list setup, build, cure, grow, or training times."
Story,Add scale field,,Documentary Entry System,Medium,"documentary,schema","Classify household, workshop, village, industrial, national, habitat scale.","Entry pages show scale."
Story,Add precision requirement,,Documentary Entry System,Medium,"documentary,schema","Track whether rough craft or high precision is required.","Schema and UI expose precision level."
Story,Add temperature and pressure requirements,,Documentary Entry System,Medium,"documentary,safety,schema","Track heat and pressure constraints for processes.","Validator can flag missing warnings for high temperature or pressure."
Story,Create founding 100 technologies list,,Documentary Entry System,High,"content,tree","Define the first 100 nodes that matter most.","docs lists founding 100 with priority and status."
Story,Improve bottom-of-tree entries,,Documentary Entry System,High,"content,collapse,space","Deepen primitive nodes before expanding advanced branches.","Foundation nodes have failure modes, maintenance, and diagrams planned."
Story,Create raw material model,,Raw Material Atlas,High,"atlas,schema","Normalize raw materials across entries.","Schema supports material IDs and references."
Story,Build material search,,Raw Material Atlas,High,"atlas,ux","Search by material and show related technologies.","Users can search clay, copper, charcoal, limestone, etc."
Story,Add Earth location metadata,,Raw Material Atlas,High,"atlas,collapse","Track where raw materials can realistically be found on Earth.","Materials support regions, deposits, sources, and uncertainty."
Story,Add space substitutes metadata,,Raw Material Atlas,High,"atlas,space","Track Moon, Mars, asteroid, habitat, and recycled substitutes.","Materials show credible space alternatives."
Story,Add material transformation chains,,Raw Material Atlas,High,"atlas,tree","Show sand to glass to lenses to microscopy style chains.","Atlas can display transformations."
Story,Add ISRU fields,,Raw Material Atlas,High,"atlas,space,schema","Track in-situ resource utilization relevance.","Entries support ISRU notes and feasibility."
Story,Add closed-loop compatibility,,Raw Material Atlas,Medium,"atlas,space","Indicate whether technology supports recycling and closed-loop habitats.","Entries show closed-loop relevance."
Story,Add mass penalty field,,Raw Material Atlas,Medium,"atlas,space","Support import vs local manufacturing decisions.","Entries can describe import/local tradeoff."
Story,Add energy cost field,,Raw Material Atlas,Medium,"atlas,space","Track energy intensity where relevant.","Entries show rough energy class."
Story,Add hazard categories schema,,Safety and Verification System,Highest,"safety,schema","Add hazard tags for medical, chemical, electrical, fire, pressure, structural, biological, radiation, sharp tools, high temperature, confined space.","Schema and validator support hazard categories."
Story,Add non-medical hazard gates,,Safety and Verification System,Highest,"safety,ux","Gate high-risk entries beyond medicine.","High voltage, chemical, pressure, structural, radiation, and biological entries show appropriate gates."
Story,Add source quality ranking,,Safety and Verification System,High,"verification,schema","Rank sources as primary, institutional, textbook, review, encyclopedia, anecdotal.","Schema and UI show source quality."
Story,Add claim-level sources,,Safety and Verification System,High,"verification,content","Allow critical claims to cite specific sources.","High-risk entries can cite claims directly."
Story,Add uncertainty notes,,Safety and Verification System,High,"verification,content","Mark disputed, weak, or context-dependent knowledge.","Entries support uncertaintyNotes."
Story,Add date sensitivity flag,,Safety and Verification System,Medium,"verification,schema","Flag content that changes over time.","Entries can mark medicine, standards, regulation, electronics as date-sensitive."
Story,Add verification history,,Safety and Verification System,Medium,"verification,community","Track review events over time.","Entries can show reviewer, date, scope, and changes."
Story,Add expert review queues,,Safety and Verification System,High,"verification,community","Group needed reviews by domain.","Status page shows medical, electrical, civil, chemical, materials, agriculture queues."
Story,Add known bad advice section,,Safety and Verification System,High,"safety,content","Document common myths and dangerous mistakes.","Entry pages display known bad advice."
Story,Add Mars scenario mode,,Scenario Modes,High,"space,ux","Re-rank priorities and notes for Mars.","Space mode includes Mars-specific constraints."
Story,Add Moon scenario mode,,Scenario Modes,Medium,"space,ux","Add Moon-specific constraints and priorities.","Scenario mode includes regolith, vacuum, volatiles, temperature cycling."
Story,Add orbital station mode,,Scenario Modes,Medium,"space,ux","Focus on closed-loop repair, life support, redundancy, and logistics.","Scenario mode supports orbital station use case."
Story,Add collapse phase guides,,Scenario Modes,High,"collapse,ux","Expand first 72 hours, first 30 days, and first year guidance.","Survive page has phase guides linked to technologies."
Story,Add settlement capability checklist,,Scenario Modes,High,"collapse,space,ux","Users mark what their group has and see what becomes possible.","Checklist state feeds recommendations."
Story,Add public health layer,,Scenario Modes,High,"collapse,safety","Create disease prevention, waste separation, ventilation, food safety guidance.","Public health chain exists and links core entries."
Story,Add food security layer,,Scenario Modes,High,"collapse,content","Create agriculture, storage, seed saving, fermentation, animal husbandry plan.","Food security chain exists and links entries."
Story,Add salvage mode,,Scenario Modes,Medium,"collapse,content","Teach recovery and reuse of parts from ruins.","Salvage mode lists recoverable materials and safety warnings."
Story,Add diagram slots,,Media and Teaching Layer,High,"media,documentary","Each mature entry should support at least one diagram.","Schema and UI support diagram metadata."
Story,Add media license validation,,Media and Teaching Layer,High,"media,infrastructure","Validate filenames, credits, and licenses.","Validation fails missing media metadata."
Story,Add print field guides,,Media and Teaching Layer,High,"print,offline","Generate printable chains like clean water and low-resource clinic.","Foundation chains can print cleanly."
Story,Add field card mode,,Media and Teaching Layer,Medium,"print,ux","Condense key survival content into small cards.","Selected entries can render field-card view."
Story,Add video slots,,Media and Teaching Layer,Medium,"media,documentary","Support 1-minute, 5-minute, and deep-dive videos.","Entry schema/UI supports video categories."
Story,Add open-license media tracker,,Media and Teaching Layer,Medium,"media,community","Track which entries need images and sources.","Status page reports missing media."
Story,Add AI illustration policy,,Media and Teaching Layer,Medium,"media,safety","Label generated illustrations clearly and prevent treating them as evidence.","Policy exists and UI can label generated media."
